learner,dimension,rep,bayes_final_tuning_mse,bayes_pehe,random_final_tuning_mse,random_pehe,delta_mse_bayes_minus_random,delta_pehe_bayes_minus_random
x_cb,4d,4,1.174395021961095,0.124485734781663,1.1852677718718148,0.0977450158279279,-0.010872749910719737,0.0267407189537351
x_cb,4d,5,1.12094811149103,0.1196308354944356,1.125369905214867,0.1128282088124504,-0.0044217937238368865,0.006802626681985197
x_cb,4d,6,1.084576862038019,0.1218624424344043,1.0918573625431038,0.1175726071047823,-0.007280500505084886,0.004289835329622002
x_cb,4d,7,1.1329243654570151,0.1013686424625133,1.1430351395565408,0.0825810138302327,-0.010110774099525655,0.018787628632280604
x_cb,4d,8,1.1757418512339814,0.1702802346124239,1.184124872829735,0.1468610716809307,-0.008383021595753659,0.02341916293149318
x_cb,4d,9,1.1686922799230153,0.1143955222434674,1.1758721246446484,0.1111454920163278,-0.007179844721633133,0.0032500302271395998
x_cb,4d,10,1.1234948934601736,0.108917217848844,1.129028223579195,0.1233714172119645,-0.005533330119021462,-0.014454199363120493
x_cb,4d,11,1.1080525196205102,0.1108910809802912,1.1148097858784076,0.1097382739035528,-0.00675726625789741,0.001152807076738399
x_cb,4d,12,1.179392343974153,0.1936307152673667,1.1953953320433328,0.1851015296811633,-0.01600298806917988,0.008529185586203386
x_cb,4d,13,1.1477551477574333,0.0767706181147763,1.1471386917183406,0.0815001063885509,0.000616456039092661,-0.004729488273774604
x_cb,4d,14,1.066773641984373,0.0794796509482701,1.0727173438551243,0.0936077765556777,-0.005943701870751328,-0.014128125607407602
x_cb,4d,15,1.1896328378758894,0.1184731341235987,1.1982007055039074,0.123590184100671,-0.008567867628018089,-0.0051170499770723105
x_cb,4d,16,1.1992632453912695,0.1746393433777161,1.2215026206746775,0.1468440335041738,-0.022239375283408025,0.027795309873542312
x_cb,4d,17,1.1229655835373302,0.1427166415370326,1.1346045758577157,0.0941164689456365,-0.011638992320385455,0.048600172591396096
x_cb,4d,18,1.131359006157048,0.0982770907432081,1.1428165140782085,0.1034970167812356,-0.011457507921160515,-0.0052199260380274976
x_cb,4d,19,1.2062530909243618,0.1758124184827904,1.205395864060529,0.1741820596399293,0.0008572268638329383,0.001630358842861085
x_cb,4d,20,1.1357943772573469,0.103130688228568,1.143161374989243,0.1104567733544798,-0.0073669977318961966,-0.007326085125911805
x_cb,4d,21,1.1469762970155126,0.1413716621134033,1.1595386715977452,0.1264328244925051,-0.012562374582232527,0.014938837620898204
x_cb,4d,22,1.1032711776908266,0.1256646684572782,1.1123480035811135,0.1184313021964031,-0.00907682589028691,0.00723336626087509
x_cb,4d,23,1.1490094519013148,0.1259935604581034,1.1622541287565449,0.1150916810770082,-0.01324467685523012,0.010901879381095186
x_cb,4d,24,1.2213395457183256,0.0832048682347774,1.2308200037245691,0.0687094104215558,-0.00948045800624353,0.01449545781322159
x_cb,4d,25,1.1085522725299544,0.21589688336091,1.1081679485478124,0.2231065116314367,0.0003843239821419431,-0.00720962827052668
x_cb,4d,26,1.1522741664773448,0.166874447785138,1.1625801288704134,0.1652797012055672,-0.01030596239306858,0.0015947465795707882
x_cb,4d,27,1.1585149119697185,0.1912388550548039,1.1594573077094388,0.1962334301712335,-0.0009423957397203253,-0.004994575116429617
x_cb,4d,28,1.0879683476031528,0.2153198593497005,1.0882586235084426,0.2119564467833023,-0.0002902759052898496,0.0033634125663981884
x_cb,4d,29,1.1582274528095755,0.0944021344970574,1.1563544245864632,0.1036301236764102,0.0018730282231123052,-0.009227989179352802
x_cb,6d,0,1.089108492344895,0.0967701462841958,1.104689292454825,0.0998276917395214,-0.015580800109930015,-0.0030575454553256054
x_cb,6d,1,1.0684815423985234,0.3794130488438597,1.083902283124621,0.3734840149911004,-0.01542074072609756,0.00592903385275928
x_cb,6d,2,1.1584880659271657,0.1186955395824661,1.1940758894667154,0.1835143774285361,-0.0355878235395497,-0.06481883784607
x_cb,6d,3,1.068397547567727,0.2647182017645128,1.095835577072541,0.2702333003999907,-0.027438029504814,-0.005515098635477944
x_cb,6d,4,1.1554933738061992,0.0957156857191572,1.191980342475042,0.1128670172557572,-0.03648696866884271,-0.017151331536599992
x_cb,6d,5,1.0957200261501163,0.1622030070900594,1.1121535911095368,0.1475426255586594,-0.0164335649594205,0.01466038153139998
x_cb,6d,6,1.0748972391226552,0.1444100329322064,1.0770542370817282,0.1475051375752,-0.0021569979590729815,-0.003095104642993618
x_cb,6d,7,1.1181036380201048,0.1390284432682552,1.1369809411458436,0.0980300980694732,-0.018877303125738765,0.040998345198781996
x_cb,6d,8,1.1405607592767335,0.191716693837715,1.1635850947221038,0.1711750185707,-0.023024335445370303,0.020541675267015003
x_cb,6d,9,1.1438539758982489,0.0990895536266124,1.1631109825187405,0.165838915844038,-0.019257006620491568,-0.06674936221742561
x_cb,6d,10,1.1074101557552616,0.119707391148456,1.1320642023149416,0.1567579778645833,-0.024654046559680065,-0.03705058671612729
x_cb,6d,11,1.1115203243756608,0.1755497061910177,1.122786840119396,0.1426006978478453,-0.01126651574373505,0.03294900834317241
