learner,tuner,rep,pehe,pehe_plug,dimension,final_tuning_mse
x_cb,random,5,0.1425109819434694,0.4350324573263477,2d,1.1793998400858448
x_cb,random,6,0.1494622844497764,0.422833600547034,2d,1.102772942992974
x_cb,random,7,0.1318984565120047,0.417864016810012,2d,1.1975941531673957
x_cb,random,8,0.1696831897631283,0.6063730913334384,2d,1.2228141553539686
x_cb,random,9,0.1319351865506102,0.2462546552693868,2d,1.1964176853090738
x_cb,random,10,0.1457502009899176,0.3673560754327056,2d,1.1558019346324253
x_cb,random,11,0.1430544381842375,0.3620473074012551,2d,1.1826649449148663
x_cb,random,12,0.1943157452663386,0.5695987505638407,2d,1.2276374451443708
x_cb,random,13,0.1281543675142467,0.29354768438795,2d,1.175316104464972
x_cb,random,14,0.0972687747712309,0.4748060388156686,2d,1.103462744128956
x_cb,random,15,0.190097534483082,0.2004584465127659,2d,1.2433892722889637
x_cb,random,16,0.2217880942205888,0.5364216282987219,2d,1.2734043837781597
x_cb,random,17,0.1583376938313918,0.3698833560697446,2d,1.1659652467336674
x_cb,random,18,0.1261967128594099,0.4116241759642048,2d,1.1704750094232146
x_cb,random,19,0.1777419461217479,0.4456873109753976,2d,1.2675975138755171
x_cb,random,20,0.1363025755965725,0.2652506508527394,2d,1.192018720465098
x_cb,random,21,0.1772124000039556,0.6329226594798024,2d,1.1809129670620522
x_cb,random,22,0.1346105742581441,0.3598073062478339,2d,1.1507222983711969
x_cb,random,23,0.1748912544102626,0.5209074786183776,2d,1.1900033465435311
x_cb,random,24,0.1033627285853518,0.2547315585841685,2d,1.2728058776393487
x_cb,random,25,0.2244841552115773,0.3428845070587736,2d,1.126894135345556
x_cb,random,26,0.1794906477043812,0.3802597122196371,2d,1.2104908554739184
x_cb,random,27,0.2160732179875686,0.3852715441140963,2d,1.185380978052639
x_cb,random,28,0.2317685477662283,0.3736457073929963,2d,1.109087879392505
x_cb,random,29,0.1468723929091451,0.531493131323069,2d,1.2029803697010026
x_cb,bayes,0,0.1112687298077438,0.331500595963141,4d,1.1013723921416558
x_cb,bayes,1,0.3198984741108314,0.6725127891390383,4d,1.0822770386433131
x_cb,bayes,2,0.1457415059977358,0.3621075887816434,4d,1.1759329348371752
x_cb,bayes,3,0.2270160154626656,0.3266016072982974,4d,1.073251948965106
x_cb,bayes,4,0.124485734781663,0.4635958877444816,4d,1.174395021961095
x_cb,bayes,5,0.1196308354944356,0.234166827944082,4d,1.12094811149103
x_cb,bayes,6,0.1218624424344043,0.2934334076097095,4d,1.084576862038019
x_cb,bayes,7,0.1013686424625133,0.3539841073067384,4d,1.1329243654570151
x_cb,bayes,8,0.1702802346124239,0.4709432535097176,4d,1.1757418512339814
x_cb,bayes,9,0.1143955222434674,0.183096172711773,4d,1.1686922799230153
x_cb,bayes,10,0.108917217848844,0.2462736387285365,4d,1.1234948934601736
x_cb,bayes,11,0.1108910809802912,0.2210145438421894,4d,1.1080525196205102
x_cb,bayes,12,0.1936307152673667,0.4396815176463217,4d,1.179392343974153
x_cb,bayes,13,0.0767706181147763,0.2335801323809238,4d,1.1477551477574333
x_cb,bayes,14,0.0794796509482701,0.3987146528490554,4d,1.066773641984373
x_cb,bayes,15,0.1184731341235987,0.2124490544818238,4d,1.1896328378758894
x_cb,bayes,16,0.1746393433777161,0.4129744157530173,4d,1.1992632453912695
x_cb,bayes,17,0.1427166415370326,0.2819633023462922,4d,1.1229655835373302
x_cb,bayes,18,0.0982770907432081,0.3192327750261129,4d,1.131359006157048
x_cb,bayes,19,0.1758124184827904,0.329872641511995,4d,1.2062530909243618
x_cb,bayes,20,0.103130688228568,0.1848049771211523,4d,1.1357943772573469
x_cb,bayes,21,0.1413716621134033,0.4853892717296118,4d,1.1469762970155126
x_cb,bayes,22,0.1256646684572782,0.2003522797929212,4d,1.1032711776908266
x_cb,bayes,23,0.1259935604581034,0.3137586611220064,4d,1.1490094519013148
x_cb,bayes,24,0.0832048682347774,0.1699699169501987,4d,1.2213395457183256
x_cb,bayes,25,0.21589688336091,0.4613597799748705,4d,1.1085522725299544
x_cb,bayes,26,0.166874447785138,0.281263185799239,4d,1.1522741664773448
x_cb,bayes,27,0.1912388550548039,0.2885984156359837,4d,1.1585149119697185
x_cb,bayes,28,0.2153198593497005,0.2792843795515694,4d,1.0879683476031528
x_cb,bayes,29,0.0944021344970574,0.3786895078173096,4d,1.1582274528095755
x_cb,random,0,0.0957559760604308,0.3186995097499306,4d,1.1085867009603152
x_cb,random,1,0.3373495430243551,0.6278770959490193,4d,1.0884803817688091
x_cb,random,2,0.1320408652873849,0.3545047662638958,4d,1.1915951864241017
x_cb,random,3,0.2368998614061831,0.3285771615507546,4d,1.0875615090646675
x_cb,random,4,0.0977450158279279,0.3567662351558514,4d,1.1852677718718148
x_cb,random,5,0.1128282088124504,0.2499690922196618,4d,1.125369905214867
x_cb,random,6,0.1175726071047823,0.2522650123159785,4d,1.0918573625431038
x_cb,random,7,0.0825810138302327,0.2313189199587293,4d,1.1430351395565408
x_cb,random,8,0.1468610716809307,0.4851380407852441,4d,1.184124872829735
x_cb,random,9,0.1111454920163278,0.2304443202209498,4d,1.1758721246446484
x_cb,random,10,0.1233714172119645,0.2851964723166112,4d,1.129028223579195
x_cb,random,11,0.1097382739035528,0.2348211688817103,4d,1.1148097858784076
x_cb,random,12,0.1851015296811633,0.4722657198186537,4d,1.1953953320433328
x_cb,random,13,0.0815001063885509,0.2114051749299165,4d,1.1471386917183406
x_cb,random,14,0.0936077765556777,0.3982801693520258,4d,1.0727173438551243
x_cb,random,15,0.123590184100671,0.2022852026859497,4d,1.1982007055039074
x_cb,random,16,0.1468440335041738,0.2526207876249246,4d,1.2215026206746775
x_cb,random,17,0.0941164689456365,0.2459693147809737,4d,1.1346045758577157
x_cb,random,18,0.1034970167812356,0.2899659376093951,4d,1.1428165140782085
x_cb,random,19,0.1741820596399293,0.2837170680395545,4d,1.205395864060529
x_cb,random,20,0.1104567733544798,0.1981904752745571,4d,1.143161374989243
x_cb,random,21,0.1264328244925051,0.4589018211046565,4d,1.1595386715977452
x_cb,random,22,0.1184313021964031,0.3024763516175956,4d,1.1123480035811135
x_cb,random,23,0.1150916810770082,0.3503325855844051,4d,1.1622541287565449
x_cb,random,24,0.0687094104215558,0.1518507461855754,4d,1.2308200037245691
x_cb,random,25,0.2231065116314367,0.409615874854434,4d,1.1081679485478124
x_cb,random,26,0.1652797012055672,0.3146810243464352,4d,1.1625801288704134
x_cb,random,27,0.1962334301712335,0.1791332412082494,4d,1.1594573077094388
x_cb,random,28,0.2119564467833023,0.27441643326168,4d,1.0882586235084426
x_cb,random,29,0.1036301236764102,0.326284152426585,4d,1.1563544245864632
x_cb,bayes,0,0.0967701462841958,0.3071350125178325,6d,1.089108492344895
x_cb,bayes,1,0.3794130488438597,0.8424934945176562,6d,1.0684815423985234
x_cb,bayes,2,0.1186955395824661,0.3064787835405741,6d,1.1584880659271657
x_cb,bayes,3,0.2647182017645128,0.3123285043764148,6d,1.068397547567727
x_cb,bayes,4,0.0957156857191572,0.3035797417399211,6d,1.1554933738061992
x_cb,bayes,5,0.1622030070900594,0.3293419925517886,6d,1.0957200261501163
x_cb,bayes,6,0.1444100329322064,0.3155692386693358,6d,1.0748972391226552
x_cb,bayes,7,0.1390284432682552,0.3493706710191437,6d,1.1181036380201048
x_cb,bayes,8,0.191716693837715,0.5594016349662823,6d,1.1405607592767335
x_cb,bayes,9,0.0990895536266124,0.1980643420134145,6d,1.1438539758982489
x_cb,bayes,10,0.119707391148456,0.2865144746827247,6d,1.1074101557552616
